Series,Time,Value
Load,2021-05-14T08:00:00+07:00,252,24442291259766
Load,2021-05-14T09:00:00+07:00,220,92819213867188
Load,2021-05-14T10:00:00+07:00,236,2430191040039
Load,2021-05-14T11:00:00+07:00,228,52965545654297
Load,2021-05-14T12:00:00+07:00,223,60276794433594
Load,2021-05-14T13:00:00+07:00,226,1841583251953
Load,2021-05-14T14:00:00+07:00,244,14905548095703
Load,2021-05-14T15:00:00+07:00,266,72339057922363
Load,2021-05-14T16:00:00+07:00,432,4495391845703
Load,2021-05-14T17:00:00+07:00,436,4163417816162
Load,2021-05-14T18:00:00+07:00,400,72948813438416
Load,2021-05-14T19:00:00+07:00,386,88646125793457
Load,2021-05-14T20:00:00+07:00,345,6919050216675
Load,2021-05-14T21:00:00+07:00,314,01301431655884
Load,2021-05-14T22:00:00+07:00,291,1281162202358
Load,2021-05-14T23:00:00+07:00,277,12763753533363
Load,2021-05-15T00:00:00+07:00,271,12920013070107
Load,2021-05-15T01:00:00+07:00,264,12955754995346
Load,2021-05-15T02:00:00+07:00,261,12796062231064
Load,2021-05-15T03:00:00+07:00,271,1255736351013
Load,2021-05-15T04:00:00+07:00,291,8928256034851
Load,2021-05-15T05:00:00+07:00,323,15752029418945
Load,2021-05-15T06:00:00+07:00,298,1605110168457
Load,2021-05-15T07:00:00+07:00,270,7687530517578
Load,2021-05-15T08:00:00+07:00,245,30295944213867
Load,2021-05-15T09:00:00+07:00,231,93177795410156
Load,2021-05-15T10:00:00+07:00,214,74308013916016
Load,2021-05-15T11:00:00+07:00,203,2555389404297
Load,2021-05-15T12:00:00+07:00,211,6267318725586
Load,2021-05-15T13:00:00+07:00,210,67750549316406
Load,2021-05-15T14:00:00+07:00,216,0297088623047
Load,2021-05-15T15:00:00+07:00,239,28221988677979
Load,2021-05-15T16:00:00+07:00,408,8098564147949
Load,2021-05-15T17:00:00+07:00,421,9013080596924
Load,2021-05-15T18:00:00+07:00,405,5467596054077
Load,2021-05-15T19:00:00+07:00,376,6415638923645
Load,2021-05-15T20:00:00+07:00,348,11349111795425
Load,2021-05-15T21:00:00+07:00,311,11405369639397
